Mesa,Estado,Origen,Detalle,DetalleItems,Total,Garzon
Mesa 1,Ocupada,📥 WhatsApp,Pollo asado + Papas fritas / Pollo asado + Papas fritas,,11000,Garzón 1
Mesa 2,Ocupada,🙋‍♂️ Presencial,Costillar + Papas fritas,"[{""item"": ""Costillar + Papas fritas"", ""precio"": 7500, ""type"": ""plato"", ""plato"": ""Costillar"", ""acomp"": ""Papas fritas"", ""qty"": 1, ""unit_price"": 7500}]",7500,Rocio
Mesa 3,Libre,,0.0,,0,
Mesa 4,Libre,,0.0,,0,
Mesa 5,Libre,,0.0,,0,
Mesa 6,Libre,,0.0,,0,
Mesa 7,Libre,,0.0,,0,
Mesa 8,Libre,,0.0,,0,
